,nu,nd,iA,beta,delta,Iu,Id,I0,ABCD,ABDC,ACBD,ACDB,ADBC,ADCB,BACD,BADC,BCAD,BCDA,BDAC,BDCA,CABD,CADB,CBAD,CBDA,CDAB,CDBA,DABC,DACB,DBAC,DBCA,DCAB,DCBA,A_win,B_win,C_win,D_win,winner,u_high,u_low,aud,u_high_det,u_low_det,aud_det,total_shock,high_after_shock,high_ex_ante,different,var,uA,uB,uC,uD
578,8.0,0.0,0.0,0.95,1.0,35.0,25.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,1,D,280.0,0.0,22.356368845320198,280.0,0.0,50.0,-27.643631154679802,1.0,1.0,0.0,100.0,0.0,400.0,190.0,666.0
579,8.0,0.0,100.0,0.95,0.25,35.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,1,D,920.6680940237458,0.0,106.7780156706243,1030.0,0.0,125.0,-18.221984329375697,1.0,1.0,0.0,100.0,0.0,1000.0,997.5,1978.5
580,5.0,4.0,0.0,0.75,1.0,35.0,25.0,50.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,A,125.0,200.0,34.68236253301308,125.0,200.0,100.0,-65.31763746698692,0.0,0.0,0.0,100.0,550.0,460.0,493.75,381.25
581,5.0,4.0,0.0,0.95,0.25,75.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,B,542.1552594980103,733.7242075984083,44.57473586613608,562.5,750.0,50.0,-5.425264133863916,0.0,0.0,0.0,100.0,685.0,962.5,756.25,784.375
582,5.0,0.0,100.0,0.95,1.0,35.0,25.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,1,D,175.0,0.0,-96.78057859503281,175.0,0.0,75.0,-171.7805785950328,1.0,1.0,0.0,100.0,0.0,375.0,118.75,541.25
583,5.0,4.0,100.0,0.75,0.25,75.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,B,1309.7377581303842,1347.7902065043074,249.26340216810246,937.5,1050.0,150.0,99.26340216810244,0.0,0.0,0.0,100.0,1406.25,1537.5,1532.8125,1453.125
584,8.0,0.0,0.0,0.75,1.0,75.0,25.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,1,D,600.0,0.0,49.730601604622095,600.0,0.0,75.0,-25.269398395377902,1.0,1.0,0.0,100.0,0.0,600.0,150.0,1050.0
585,5.0,0.0,100.0,0.75,1.0,35.0,25.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,1,D,175.0,0.0,187.15296333949382,175.0,0.0,75.0,112.15296333949382,1.0,1.0,0.0,100.0,0.0,375.0,93.75,506.25
586,5.0,0.0,0.0,0.95,0.25,75.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,1,D,485.0696841909886,0.0,29.351915784263625,656.25,0.0,75.0,-45.648084215736375,1.0,1.0,0.0,100.0,0.0,375.0,534.375,998.4375
587,5.0,0.0,100.0,0.75,1.0,75.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,375.0,0.0,117.23203257994086,375.0,0.0,75.0,42.23203257994087,1.0,1.0,0.0,100.0,0.0,375.0,0.0,656.25
