,nu,nd,iA,beta,delta,Iu,Id,I0,ABCD,ABDC,ACBD,ACDB,ADBC,ADCB,BACD,BADC,BCAD,BCDA,BDAC,BDCA,CABD,CADB,CBAD,CBDA,CDAB,CDBA,DABC,DACB,DBAC,DBCA,DCAB,DCBA,A_win,B_win,C_win,D_win,winner,u_high,u_low,aud,u_high_det,u_low_det,aud_det,total_shock,high_after_shock,high_ex_ante,different
6508,0.7789696817727843,0.5007371783898262,69.46346825560865,0.4313303097299148,0.3325611497056047,38.28294405019218,37.81205077806893,13.581319637120682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,1,D,19.327787341705758,31.593978853101554,-20.183054718583335,60.98698251335772,58.37333667967325,59.94393702710535,-80.12699174568868,False,True,True
6509,5.742143648098155,3.278448847930542,45.24353492635199,0.8142847395223455,0.4595815651546217,86.66549765180038,37.0342842206866,8.462231186632774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,B,830.3366533260224,758.2050544117654,107.21035529555593,599.7790319126551,626.5693074456283,32.912671518404125,74.2976837771518,True,False,True
6510,5.2760968397469235,0.18896003249517124,82.44243647178627,0.9420187380988605,0.48550237785038264,81.90571842108176,23.958738917862576,0.9889256328471929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,1,D,357.276454151217,28.27253482258246,-27.579651753967582,549.9680653094297,35.17366158578063,43.405363161802114,-70.9850149157697,True,True,False
6511,9.887323382362005,6.572316151768297,14.951653362547612,0.5184410374164737,0.8958830033180203,71.83154360242922,4.506784751649007,12.163893639286893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,B,600.6510803573053,871.3652844516478,-106.43727552126236,724.346228700164,953.5881055236674,13.720614882825373,-120.15789040408774,False,False,False
6512,5.439476259154982,0.547052441735072,68.72950277393072,0.31628213789338067,0.49703771680643694,70.00403710417872,16.989763405163018,16.949353319097504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,1,D,533.3376315654757,91.93406805550099,55.760460442331095,521.7300720933499,90.76668659278678,51.51770095703203,4.2427594852990715,True,True,False
6513,5.569248333801758,2.001215228033576,80.81794743790518,0.17914138162502524,0.5643633516211921,84.43749349182482,28.880131825136722,68.84027473750324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,1,D,824.9039384358432,465.3928812060871,146.177210056945,722.690239151333,428.6641165215766,104.0475344882069,42.12967556873811,True,True,False
6514,6.284298236061252,5.282634474271615,26.64791362480465,0.7669041324240454,0.5046467257806143,80.38112919078687,39.64255934103598,61.21584906040791,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,A,872.7631045613169,943.0692293186769,200.33662542361003,671.3404580779242,773.7516418581725,135.6318293859782,64.70479603763182,False,False,False
6515,2.4293009023570367,0.24587339693147192,84.50429675260028,0.16810674315877006,0.09567904995222476,86.12725237064511,35.306310140110256,81.75065114346944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,1,D,423.00586865179025,63.989494915753426,97.30984562840527,556.7068226251745,77.5215805024005,158.16965706590005,-60.859811437494784,True,True,False
6516,4.805168804341466,2.034071990932037,55.09639664726515,0.14637478869909115,0.4314326380939165,38.51681901752616,33.219474337763664,2.8972326543207916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,1,D,135.16779702261317,135.5637499425517,-18.268991483941093,278.5798510139306,196.2713866695303,34.22324554658752,-52.492237030528614,False,True,True
6517,5.529438985793184,2.005829897664019,56.29690228321734,0.7554272987876031,0.2534485122738861,33.18955273890778,0.910441398408568,24.07343885356463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,1,D,1029.7692861596297,440.12623022447957,205.0018034330926,456.3892802529327,232.12994678136903,66.10197500747219,138.8998284256204,True,True,False
6518,8.07076596173035,3.8544315686526542,37.19896065525039,0.7964244815399504,0.9725450959404435,86.08413004733254,80.25650752902747,13.146891632230052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,1,D,717.3078910495202,674.3768609134582,101.73666506781642,697.9042830068931,665.1100974191505,14.168185528135169,87.56847953968125,True,True,False
6519,1.1967598773582755,1.0242522289779932,5.852143567700718,0.22303677405793254,0.5299498873756855,67.05271672822334,37.35168071244574,36.7786193580395,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,A,-19.11392817743908,21.898802339327297,-113.44126332091761,87.62709720763732,113.25358055548477,76.30803945917037,-189.749302780088,False,False,False
