,nu,nd,iA,beta,delta,Iu,Id,I0,ABCD,ABDC,ACBD,ACDB,ADBC,ADCB,BACD,BADC,BCAD,BCDA,BDAC,BDCA,CABD,CADB,CBAD,CBDA,CDAB,CDBA,DABC,DACB,DBAC,DBCA,DCAB,DCBA,A_win,B_win,C_win,D_win,winner
34,9.46244954418751,6.717894853868095,82.87020626579805,0.046591552299500405,0.1341784557200293,61.91982032002379,39.93519033106395,56.99856665773532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,C
35,5.056430960141264,4.330137732681375,26.998061794957493,0.8906609477142037,0.11819986485345413,92.15792996710022,14.647409884034667,7.642021175560398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,B
36,9.651592283657283,4.623932923219215,32.93747815236598,0.9399697863074735,0.7510530141816769,43.85849996635947,34.078194935252384,31.407241800842066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,1,D
37,6.316646522148275,5.964053906184125,71.30099375239234,0.18810216176138073,0.2236984926224146,52.09394296551557,44.3838926854323,42.39584545642098,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,A
38,4.695237080897291,4.019996694487777,54.67162300055109,0.23299279197415945,0.5142448265509698,65.60122566256952,58.86469096516607,54.48618231344826,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,A
39,5.242725569843538,5.216452062698112,52.72520448224724,0.1479968210907996,0.31701996266483956,70.52918088157334,14.480230126095584,40.95577022548955,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,A
40,9.68726154100062,2.3095419812670306,58.860030548432064,0.30963526618692894,0.9918472697203818,24.94633523405857,2.0740053120030355,5.834487537372068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,1,D
41,9.625523275222868,0.10289156125707355,34.73205754011932,0.2033587175038991,0.31445644052004973,77.90545674002405,7.0955933735924575,63.27942546434356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,1,D
42,3.5221456285109554,0.5395576170571348,88.78688038556014,0.47771984750405405,0.7161918558116507,75.63032561745283,24.969585298025056,72.19824931300097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,1,D
43,8.701663470720721,6.395010868964999,52.796334472971076,0.688331997819475,0.6655918786746037,93.66607130512762,36.4053633315789,39.91507363300689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,B
